feature,direction,lag,bucket_type,bucket,label,extreme_deciles,coverage,rows,row_share,events,rate,base,lift,ci_low,ci_high,rho,rho_deciles,sufficient,pass_build,window,pass_holdout
pb,LOW,12,all,ALL,win_100,1,0.9582491377097265,44068,0.11689031652268018,1225,0.0277979486248525,0.02614037554077819,1.063410454126359,1.0062500592914847,1.1237199096788701,0.6121212121212121,10,True,False,build,
pb,LOW,12,all,ALL,launch_300,1,0.9582491377097265,44068,0.11689031652268018,209,0.004742670418444223,0.006076874719829816,0.7804456463399072,0.681758612144548,0.8933401135148634,0.8787878787878788,10,True,False,build,
pb,LOW,12,drawdown,0-10,win_50,1,0.9559353020672693,33944,0.11675839295542102,3066,0.09032524157435777,0.10013758943313153,0.9020113434493436,0.8720204000434545,0.93292816981853,0.9030303030303031,10,True,False,build,
pb,LOW,12,drawdown,0-10,win_100,1,0.9559353020672693,33944,0.11675839295542102,661,0.019473250058920574,0.021188772702256466,0.9190362430404853,0.8521828754252041,0.9910220731689292,0.6848484848484848,10,True,False,build,
pb,LOW,12,drawdown,0-10,launch_300,1,0.9559353020672693,33944,0.11675839295542102,110,0.003240631628564695,0.004825949367088607,0.6715013735255368,0.5573325395295734,0.8089659911759858,0.9428571428571428,6,True,False,build,
pb,LOW,12,drawdown,10-20,win_50,1,0.9604924943450545,4358,0.11662697032140659,351,0.08054153281321708,0.07865228677710279,1.0240202302250707,0.9259315869680761,1.1315025136452943,0.5515151515151515,10,True,False,build,
pb,LOW,12,drawdown,10-20,win_100,1,0.9604924943450545,4358,0.11662697032140659,87,0.019963285910968333,0.014745631171889635,1.353844110045651,1.0995529416607686,1.6654765601025256,,0,False,False,build,
pb,LOW,12,drawdown,10-20,launch_300,1,0.9604924943450545,4358,0.11662697032140659,10,0.002294630564479119,0.0037198597693151713,0.6168594266395053,0.3352009217824729,1.1341867184153565,,0,False,False,build,
pb,LOW,12,drawdown,20-30,win_50,1,0.9654905547542829,3233,0.11779494279676456,675,0.2087844107639963,0.18487211251184144,1.1293450803761613,1.0554537240789403,1.2069753721653826,0.030303030303030304,10,True,False,build,
pb,LOW,12,drawdown,20-30,win_100,1,0.9654905547542829,3233,0.11779494279676456,173,0.05351067120321683,0.03781971872039641,1.4148881327971958,1.2234240050189185,1.634374158424121,-0.3,5,True,False,build,
