flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes
h15_near_high,6,all,ALL,393429,382241,199763,562,135,launch_500,0.9715628486969695,0.5226100810745054,0.0014702766055969924,0.000675800823976412,0.45964196220207776,0.3883893686850645,0.5439558540359373,135,True,False
h15_near_high,6,drawdown,0-10,304121,294712,166530,361,88,launch_500,0.9690616563801908,0.5650601264963762,0.001224924672222373,0.0005284333153185612,0.43140066267081384,0.35020796010948685,0.5314049365121002,88,False,False
h15_near_high,6,drawdown,10-20,38904,37945,18845,48,19,launch_500,0.9753495784495168,0.49663987350112004,0.001264988799578337,0.0010082249933669408,0.7970228619439286,0.510342821080901,1.2444889023903225,19,False,False
h15_near_high,6,drawdown,20-30,28427,28029,10726,35,14,launch_500,0.9859992260878742,0.3826750865175354,0.0012487066966356275,0.0013052396046988625,1.0452731680029832,0.6227962158450763,1.753711407853632,14,False,False
h15_near_high,6,drawdown,>30,21977,21555,3662,118,14,launch_500,0.9807981071119807,0.16989097657156113,0.005474367896079796,0.0038230475150191155,0.6983541456460766,0.4162528106976881,1.1704123979633094,14,False,False
h15_near_high,6,mst,0-12,297665,288716,145686,457,99,launch_500,0.9699360018813096,0.5045996758059823,0.0015828703639562754,0.0006795436761253656,0.4293110109326281,0.3526830055929488,0.5225743272806898,99,False,False
h15_near_high,6,mst,13-24,33927,33383,18025,42,19,launch_500,0.983965573142335,0.5399454812329629,0.0012581253931641854,0.0010540915395284328,0.8378270920018493,0.5364736922410669,1.3081809579204489,19,False,False
h15_near_high,6,mst,>24,61837,60142,36052,63,17,launch_500,0.9725892265148698,0.5994479731302584,0.0010475208672807688,0.0004715411072894708,0.45014960753338656,0.2810837251626299,0.7208282157097787,17,False,False
h15_near_high,12,all,ALL,393429,373183,197832,513,134,launch_500,0.9485396348515234,0.5301206110674923,0.001374660689259693,0.0006773423915241214,0.49273424112309205,0.4160913028993993,0.5834832797248753,134,True,False
h15_near_high,12,drawdown,0-10,304121,287248,166470,331,97,launch_500,0.9445187935065319,0.5795340611596947,0.001152314376427338,0.0005826875713341743,0.5056671887933502,0.41457286979329766,0.6167634789343361,97,False,False
h15_near_high,12,drawdown,10-20,38904,37282,19080,45,11,launch_500,0.9583076290355748,0.5117751193605493,0.001207016790944692,0.0005765199161425577,0.47764034474726297,0.2667403086312729,0.8551177618186511,11,False,False
h15_near_high,12,drawdown,20-30,28427,27660,5617,34,6,launch_500,0.973018609068843,0.20307302964569776,0.0012292118582791034,0.0010681858643403952,0.8690006178722156,0.39834322987160486,1.894461649873301,6,False,False
h15_near_high,12,drawdown,>30,21977,20993,6665,103,20,launch_500,0.9552259180051872,0.3174867813080551,0.004906397370552089,0.003000750187546887,0.6115995018172019,0.3960998481794535,0.9437986045688963,20,False,False
h15_near_high,12,mst,0-12,297665,281249,149055,413,104,launch_500,0.9448507550434213,0.5299752176896629,0.001468449665598811,0.0006977290261983831,0.4751467091749856,0.39220434852747177,0.5756146708139613,104,True,False
h15_near_high,12,mst,13-24,33927,33131,13715,39,10,launch_500,0.9765378607009166,0.4139627539162718,0.001177145271799825,0.0007291286912139992,0.6194041709900259,0.3364989405153679,1.139837457138562,10,False,False
h15_near_high,12,mst,>24,61837,58803,35062,61,20,launch_500,0.9509355240390057,0.5962620954713195,0.0010373620393517337,0.0005704181164793794,0.5498737131694581,0.3560033548409441,0.8492278870411655,20,False,False
h20_leverage_ok,0,all,ALL,393429,392069,240388,628,397,launch_500,0.9965432136421057,0.6131267710530545,0.0016017588740757367,0.0016514967469258032,1.031052035144033,0.9345642339061521,1.1374834096873025,397,True,False
h20_leverage_ok,0,drawdown,0-10,304121,302968,182467,415,254,launch_500,0.9962087458610224,0.6022649256687175,0.0013697816271025323,0.0013920325319098795,1.016244125608849,0.8987840094694683,1.1490306569630477,254,True,False
h20_leverage_ok,0,drawdown,10-20,38904,38802,25700,54,42,launch_500,0.9973781616286244,0.6623369929385083,0.0013916808411937528,0.0016342412451361868,1.1742931258106355,0.8689750006257392,1.5866489335722758,42,False,False
h20_leverage_ok,0,drawdown,20-30,28427,28360,18448,36,31,launch_500,0.9976430857987125,0.6504936530324401,0.0012693935119887166,0.0016803989592367736,1.323780957887636,0.9328322327712743,1.8781846664764061,31,False,False
h20_leverage_ok,0,drawdown,>30,21977,21939,13773,123,70,launch_500,0.9982709195977613,0.6277861342814166,0.005606454259537809,0.005082407609090249,0.9065279718360243,0.7179231176548139,1.1443618394179955,70,False,False
h20_leverage_ok,0,mst,0-12,297665,296629,175883,514,305,launch_500,0.9965195773772529,0.5929393282517893,0.0017328042773970178,0.0017341073327154983,1.0007519922102444,0.8946436437947456,1.1194207699185352,305,True,False
h20_leverage_ok,0,mst,13-24,33927,33856,22086,43,41,launch_500,0.9979072714946797,0.652351134215501,0.0012700850661625709,0.0018563796069908539,1.4616183249833103,1.0777106370730147,1.9819388837416714,41,False,False
h20_leverage_ok,0,mst,>24,61837,61584,42419,71,51,launch_500,0.995908598411954,0.6887990387113536,0.0011528968563263185,0.0012022914260119287,1.042843875767868,0.793326926208788,1.3707146905682632,51,False,False
h20_leverage_ok,3,all,ALL,393429,389894,241355,623,406,launch_500,0.9910148972241497,0.6190272227836283,0.001597870190359431,0.0016821694184914338,1.0527572443873179,0.955284359626026,1.160157355046164,406,True,False
h20_leverage_ok,3,drawdown,0-10,304121,301170,183826,413,255,launch_500,0.9902966253563549,0.6103728791048245,0.001371318524421423,0.0013871813562825715,1.0115675764446055,0.8948631994686026,1.143468162793602,255,True,False
h20_leverage_ok,3,drawdown,10-20,38904,38593,25508,54,43,launch_500,0.99200596339708,0.660948876739305,0.0013992174746715726,0.0016857456484240239,1.2047774409190435,0.894661157459922,1.6221450002364575,43,False,False
h20_leverage_ok,3,drawdown,20-30,28427,28293,17975,36,31,launch_500,0.9952861715974249,0.6353161559396318,0.0012723995334535045,0.0017246175243393602,1.3554056560037089,0.9551224557693251,1.9230329587942092,31,False,False
h20_leverage_ok,3,drawdown,>30,21977,21838,14046,120,77,launch_500,0.9936752058970743,0.6431907683853832,0.005495008700430442,0.00548198775452086,0.9976304048602211,0.7986905782577455,1.2457819454700545,77,False,False
h20_leverage_ok,3,mst,0-12,297665,294995,177471,511,314,launch_500,0.9910301849394454,0.6016068068950321,0.0017322327497076222,0.001769303153754698,1.0214003597688204,0.9145814419519912,1.1406705468253935,314,True,False
