flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes,window,confirm
h9_rs12_top_decile,6,drawdown,20-30,2498,2254,224,11,1,launch_500,0.9023218574859888,0.09937888198757763,0.0048802129547471165,0.004464285714285714,0.9147727272727272,0.1615690154385907,5.091943821190548,1,False,False,holdout,False
h9_rs12_top_decile,6,mst,0-12,121373,108162,10346,380,42,launch_500,0.8911537162301335,0.09565281707069026,0.0035132486455501932,0.0040595399188092015,1.1554946228901075,0.8552939659564721,1.56048366322027,42,False,False,holdout,False
h9_rs12_top_decile,6,mst,13-24,14356,13457,1303,96,15,launch_500,0.9373780997492338,0.09682693022218919,0.007133833692502044,0.011511895625479662,1.613703952417498,0.9796491629278491,2.650322146511527,15,False,False,holdout,False
h9_rs12_top_decile,12,all,ALL,135729,116146,10863,450,63,launch_500,0.8557198535316697,0.09352883439808517,0.003874433902157629,0.00579950289975145,1.4968645862100711,1.170721168894872,1.91318957008519,63,False,False,holdout,False
h9_rs12_top_decile,12,drawdown,0-10,98461,83710,7929,319,40,launch_500,0.8501843369455927,0.0947198662047545,0.0038107752956636006,0.005044772354647497,1.3238178489264638,0.9727943079306337,1.8006325099891987,40,False,False,holdout,False
h9_rs12_top_decile,12,drawdown,10-20,34770,30275,2744,120,21,launch_500,0.8707218866839229,0.09063583815028901,0.003963666391412056,0.007653061224489796,1.9308035714285716,1.2642523822460265,2.944657861179066,21,False,False,holdout,False
h9_rs12_top_decile,12,drawdown,20-30,2498,2161,190,11,2,launch_500,0.8650920736589272,0.0879222582137899,0.005090236001850995,0.010526315789473684,2.0679425837320573,0.568040060491237,7.37912588180016,2,False,False,holdout,False
h9_rs12_top_decile,12,mst,0-12,121373,103054,9638,369,51,launch_500,0.8490685737355096,0.09352378364740815,0.0035806470394162283,0.0052915542643702015,1.477820686071563,1.1247050527185936,1.9410278755603356,51,False,False,holdout,False
h9_rs12_top_decile,12,mst,13-24,14356,13092,1225,81,12,launch_500,0.9119531903037058,0.09356859150626337,0.00618698441796517,0.009795918367346938,1.5833106575963718,0.907140893185347,2.7548487433208275,12,False,False,holdout,False
h10_sponsorship,0,all,ALL,135729,129657,7599,551,51,launch_500,0.9552637977145636,0.058608482380434535,0.004249674140231534,0.006711409395973154,1.5792762396618716,1.2020955810693967,2.073756271277303,51,False,False,holdout,False
h10_sponsorship,0,drawdown,0-10,98461,93827,5702,391,40,launch_500,0.9529356801170007,0.0607714197405864,0.004167243970285739,0.00701508242721852,1.68338654449778,1.2372948863155706,2.288769184831802,40,False,False,holdout,False
h10_sponsorship,0,drawdown,10-20,34770,33341,1745,148,10,launch_500,0.9589013517400058,0.052337962268678206,0.004438979034821991,0.0057306590257879654,1.2909858282351119,0.7019093224430498,2.3692284010422835,10,False,False,holdout,False
h10_sponsorship,0,drawdown,20-30,2498,2489,152,12,1,launch_500,0.9963971176941553,0.061068702290076333,0.004821213338690237,0.006578947368421052,1.3645833333333333,0.24107858869943552,7.533591504396243,1,False,False,holdout,False
h10_sponsorship,0,mst,0-12,121373,115988,6810,447,35,launch_500,0.955632636583095,0.05871297030727317,0.00385384694968445,0.005139500734214391,1.3336027095303327,0.9595328222142013,1.852457235266445,35,False,False,holdout,False
h10_sponsorship,0,mst,13-24,14356,13669,789,104,16,launch_500,0.9521454444134857,0.0577218523666691,0.0076084570926914915,0.020278833967046894,2.665301745149654,1.6455742512171057,4.29601644668997,16,False,False,holdout,False
h10_sponsorship,3,all,ALL,135729,129001,7693,534,49,launch_500,0.9504306375203531,0.05963519662638274,0.00413950279455198,0.006369426751592357,1.5386936711276509,1.1647597956438818,2.0316605834122052,49,False,False,holdout,False
