feature,lag,decile,rows,k_win,k_loss,median_fwd_12m,coverage,win_100_rate,loss_50_rate,ratio,sufficient
op_margin_delta,0,5,53429,1241,2134,0.08156580786898338,0.9582119867172472,0.023227086413745344,0.03994085608938966,0.5815370196813495,True
op_margin_delta,0,6,53516,1266,2138,0.08097243965150713,0.9582119867172472,0.02365647656775544,0.039950668958816056,0.5921421889616464,True
op_margin_delta,0,7,53488,1425,2472,0.07210006276131475,0.9582119867172472,0.02664148967992821,0.04621597367633862,0.5764563106796117,True
op_margin_delta,0,8,53467,1624,2954,0.06811233558478502,0.9582119867172472,0.030373875474591805,0.05524903211326613,0.5497630331753555,True
op_margin_delta,0,9,53483,2052,3522,0.05339055130286874,0.9582119867172472,0.038367331675485665,0.06585270085821662,0.5826235093696763,True
op_margin_delta,0,10,53603,2933,6507,0.013897354626356329,0.9582119867172472,0.05471708673022033,0.12139245937727366,0.4507453511602889,True
op_margin_delta,3,1,52982,2933,6605,0.018261931768606576,0.9473615394810843,0.05535842361556755,0.12466498055943528,0.4440575321725965,True
op_margin_delta,3,2,52849,1979,3763,0.05831401732341113,0.9473615394810843,0.037446309296297,0.07120286098128631,0.5259101780494286,True
op_margin_delta,3,3,52880,1603,2881,0.06830686528927876,0.9473615394810843,0.03031391830559758,0.05448184568835098,0.5564040263797293,True
op_margin_delta,3,4,52860,1454,2576,0.07561028818474758,0.9473615394810843,0.027506621263715475,0.04873250094589482,0.5644409937888198,True
op_margin_delta,3,5,52836,1248,2133,0.08011061275344378,0.9473615394810843,0.023620258914376562,0.040370202134908016,0.5850914205344585,True
op_margin_delta,3,6,52909,1216,2069,0.08399191976468101,0.9473615394810843,0.022982857358861443,0.03910487818707592,0.5877235379410344,True
op_margin_delta,3,7,52881,1402,2510,0.07256438969764845,0.9473615394810843,0.026512357935742515,0.04746506306612961,0.5585657370517928,True
op_margin_delta,3,8,52859,1632,2918,0.07037904599659295,0.9473615394810843,0.030874590892752417,0.05520346582417374,0.5592871830020563,True
op_margin_delta,3,9,52870,2060,3551,0.05342737222390759,0.9473615394810843,0.03896349536599206,0.06716474371098922,0.5801182765418191,True
op_margin_delta,3,10,53003,2864,6245,0.012631578947368327,0.9473615394810843,0.054034677282417974,0.11782351942342886,0.4586068855084067,True
op_margin_delta,6,1,52345,2807,6233,0.018022657054582947,0.9361080961029378,0.053624988059986625,0.11907536536440921,0.45034493823199095,True
op_margin_delta,6,2,52225,1900,3616,0.05817259248596507,0.9361080961029378,0.036381043561512685,0.06923887027285783,0.5254424778761062,True
op_margin_delta,6,3,52254,1616,2853,0.06755851898302301,0.9361080961029378,0.030925862134956177,0.054598691009300725,0.5664213109008062,True
op_margin_delta,6,4,52229,1435,2562,0.07646574052272204,0.9361080961029378,0.02747515747956116,0.049053207987899444,0.5601092896174863,True
op_margin_delta,6,5,52206,1282,2122,0.08119329007652465,0.9361080961029378,0.02455656437957323,0.040646668965253034,0.6041470311027333,True
op_margin_delta,6,6,52277,1218,2061,0.08350100603621713,0.9361080961029378,0.023298965128067794,0.03942460355414427,0.5909752547307133,True
op_margin_delta,6,7,52255,1360,2394,0.07649972482113365,0.9361080961029378,0.026026217586833794,0.04581379772270596,0.5680868838763575,True
op_margin_delta,6,8,52228,1684,2863,0.06857537235011779,0.9361080961029378,0.03224324117331699,0.054817339358198665,0.5881942018861334,True
op_margin_delta,6,9,52251,2001,3570,0.053832116788321116,0.9361080961029378,0.03829591778147787,0.06832405121433083,0.5605042016806723,True
op_margin_delta,6,10,52376,2761,6067,0.01685162087394676,0.9361080961029378,0.05271498396212006,0.1158354971742783,0.4550848854458546,True
op_margin_delta,12,1,51109,2656,5864,0.01550169109357391,0.9138752467231936,0.05196736386937721,0.11473517384413703,0.4529331514324693,True
op_margin_delta,12,2,50991,1759,3394,0.05408284765306748,0.9138752467231936,0.03449628365790041,0.06656076562530643,0.5182675309369476,True
op_margin_delta,12,3,51001,1485,2885,0.06122349737405175,0.9138752467231936,0.029117076135762043,0.05656751828395522,0.5147313691507799,True
op_margin_delta,12,4,51004,1408,2478,0.07521583101325624,0.9138752467231936,0.02760567798604031,0.04858442475099992,0.5682001614205003,True
op_margin_delta,12,5,50954,1331,2108,0.08354765333872505,0.9138752467231936,0.026121599874396516,0.04137064803548299,0.631404174573055,True
op_margin_delta,12,6,51033,1282,2016,0.08618834202890646,0.9138752467231936,0.025121000137166147,0.03950385044970901,0.6359126984126984,True
op_margin_delta,12,7,51017,1390,2204,0.08450704225352124,0.9138752467231936,0.027245820020777387,0.043201285845894506,0.6306715063520871,True
op_margin_delta,12,8,50988,1541,2714,0.07189030084104386,0.9138752467231936,0.03022279752098533,0.053228210559347296,0.5677966101694916,True
