label,drawdown_bucket,sector,rows,winners,b_rows,b_winners,winner_rate,bucket_rate,winner_share,population_share,ratio,sufficient
win_100,20-30,Financial Services,4237,17,30925.0,1197.0,0.00401227283455275,0.03870654810024252,0.014202172096908938,0.13700889248181083,0.10365876141064642,False
win_100,20-30,Healthcare,4065,152,30925.0,1197.0,0.03739237392373924,0.03870654810024252,0.12698412698412698,0.13144704931285367,0.9660477557156524,True
win_100,20-30,Industrials,4827,146,30925.0,1197.0,0.030246529935777915,0.03870654810024252,0.12197159565580618,0.15608730800323364,0.7814318615404611,True
win_100,20-30,Real Estate,119,3,30925.0,1197.0,0.025210084033613446,0.03870654810024252,0.002506265664160401,0.003848019401778496,0.651313156841684,False
win_100,20-30,Technology,5022,271,30925.0,1197.0,0.05396256471525289,0.03870654810024252,0.22639933166248954,0.16239288601455135,1.394145625579946,True
win_100,20-30,Unknown,4,0,30925.0,1197.0,0.0,0.03870654810024252,0.0,0.00012934518997574778,0.0,False
win_100,20-30,Utilities,1164,1,30925.0,1197.0,0.000859106529209622,0.03870654810024252,0.000835421888053467,0.037639450282942605,0.02219537962891191,False
win_100,>30,Basic Materials,1269,210,21977.0,2162.0,0.16548463356973994,0.09837557446421259,0.0971322849213691,0.05774218501160304,1.682171966680007,True
win_100,>30,Communication Services,888,91,21977.0,2162.0,0.10247747747747747,0.09837557446421259,0.04209065679925995,0.040405878873367614,1.041696356393396,False
win_100,>30,Consumer Cyclical,2594,436,21977.0,2162.0,0.16808018504240554,0.09837557446421259,0.20166512488436633,0.11803248851071575,1.7085560715434536,True
win_100,>30,Consumer Defensive,1283,86,21977.0,2162.0,0.06703039750584568,0.09837557446421259,0.039777983348751156,0.058379214633480454,0.6813723616956385,False
win_100,>30,Energy,1913,244,21977.0,2162.0,0.12754835337166753,0.09837557446421259,0.11285846438482887,0.08704554761796424,1.2965449408182874,True
win_100,>30,Financial Services,3161,185,21977.0,2162.0,0.0585257829800696,0.09837557446421259,0.08556891766882516,0.14383218819675114,0.5949218929477288,True
