label,lag,field,winners,population,winner_median,winner_coverage,population_median,population_coverage,winner_mean,population_mean
win_100,6,ev12_t12,20367,558318,0.0,0.9986252270830265,0.0,0.995502563055463,0.1754265204778996,0.166167392638092
win_100,6,ev21_t12,20367,558318,0.0,0.9986252270830265,0.0,0.995502563055463,0.20885982595014504,0.21988208136997195
win_100,6,ev22_t12,20367,558318,4.0,0.9986252270830265,4.0,0.995502563055463,4.052952455872953,4.049313880537668
win_100,6,ev23_t12,20367,558318,0.0,0.9986252270830265,0.0,0.995502563055463,0.6286444761296033,0.6412801566011224
win_100,6,ev32_t12,20367,558318,0.0,0.9986252270830265,0.0,0.995502563055463,0.23890063424947147,0.17734213494972176
win_100,6,ev52_t12,20367,558318,2.0,0.9986252270830265,2.0,0.995502563055463,2.4733271055607453,2.3457836982981504
win_100,6,ev53_t12,20367,558318,0.0,0.9986252270830265,0.0,0.995502563055463,0.34893554255371456,0.36870532397037104
win_100,6,ev71_t12,20367,558318,1.0,0.9986252270830265,1.0,0.995502563055463,2.5801170165691527,2.7300519784745423
win_100,6,ev81_t12,20367,558318,2.0,0.9986252270830265,2.0,0.995502563055463,2.7794385171345692,2.9814989735645647
win_100,6,ev_total_t12,20367,558318,14.0,0.9986252270830265,14.0,0.995502563055463,15.235950636707802,15.441494979372337
win_100,6,insider_net_buys_12m,20367,558318,1.0,0.8466146216919527,0.0,0.822138996056011,9.685379574320013,5.877668485779332
win_100,6,officer_buys_12m,20367,558318,0.0,0.8466146216919527,0.0,0.822138996056011,2.2261787391985153,1.807221986209601
win_100,6,inst_pct,20367,558318,0.7978277912035653,0.6275347375656699,0.8171605424109889,0.5732700718945117,0.7348027525125235,0.7690494229588876
win_100,6,inst_pct_delta_4q,20367,558318,0.01568904795482573,0.5314970295085187,0.008819646223485467,0.4815929273281535,0.030133999874821456,0.020668261532476372
win_100,6,spy_drawdown,20367,558318,-0.028493090789845188,1.0,-0.02409332479752868,1.0,-0.0763833280143943,-0.0686665999119091
win_100,6,months_since_trough,20367,558318,2.0,1.0,3.0,1.0,6.399911621741052,9.026850289619894
win_100,12,years_since_first_price,20367,558318,10.020533880903491,1.0,15.433264887063656,1.0,12.573927432301677,15.490223563071407
win_100,12,drawdown_from_3y_high,20367,558318,-0.348202050739354,0.7481710610300977,-0.19364939360529232,0.8183562056032584,-0.37992119885679754,-0.25671871704780513
win_100,12,months_since_3y_low,20367,558318,24.0,0.7481710610300977,26.0,0.8183562056032584,20.417836986481166,22.614093144496753
win_100,12,realized_vol_12m,20367,558318,0.48310176734269167,0.9133893062306673,0.3643327735488967,0.946473156874756,0.5440578850875923,0.4230571189408571
win_100,12,avg_dollar_volume_20d,20367,558318,10.8962756,0.981244169489861,14.527136786802501,0.9887698408433904,76.65927474550311,79.54885938096777
win_100,12,price,20367,558318,20.51,0.9860067756665194,29.54,0.9916373822803491,35.82878647545067,50.364645320411796
win_100,12,marketcap_musd,20367,558318,1078.15,0.9858103795355232,1782.1,0.9914117044408384,5570.410100607607,10428.507287863358
win_100,12,rev_growth_yoy,20367,558318,0.09241099151435272,0.8569745176020033,0.07596835032543336,0.9181362592644335,0.943674322522608,3.3090174820511065
win_100,12,gross_margin,20367,558318,0.432,0.9286591054156234,0.439,0.9648408254793863,0.4892546790737018,0.4619201467268645
win_100,12,op_margin,20367,558318,0.04928800129567568,0.9267442431384102,0.1033526696187028,0.9631643615287345,-6.276109322394403,-4.749025799042135
win_100,12,cash_to_mcap,20367,558318,0.09085613356883394,0.9850738940442874,0.07219750341201932,0.9909657220437098,0.19083813844556882,0.15199595384263093
win_100,12,net_debt_to_mcap,20367,558318,0.058245710742093296,0.9850738940442874,0.10970126602011715,0.9909657220437098,0.6215187148372072,0.42802683715892015
win_100,12,capex_to_rev,20367,558318,0.034681118520183477,0.9235037069769726,0.03138254163621718,0.9603057755615975,0.24689525169502163,1.3400758393413144
win_100,12,rnd_to_rev,20367,558318,0.0,0.9267442431384102,0.0,0.9631643615287345,4.520509991198906,3.098167469953748
win_100,12,shares_chg_4q,20367,558318,0.010919954917477881,0.917611823047086,0.00524490846562875,0.946598533452262,0.1801528398264749,0.08685696903275672
win_100,12,shares_chg_8q,20367,558318,0.027843008219740617,0.8399862522708302,0.011928351560250183,0.8969297067262743,0.6369607806437311,0.20336964783328595
win_100,12,rev_growth_streak,20367,558318,3.0,0.8569745176020033,3.0,0.9181362592644335,4.271456399679157,4.5865410876062205
win_100,12,quarters_since_loss,20367,558318,1.0,0.9813423675553592,6.0,0.9886659573934568,4.088857757542403,6.337402851500933
win_100,12,ev11_t12,20367,558318,1.0,0.9823243482103402,1.0,0.9675507506474804,1.723146898585495,1.732456992860065
win_100,12,ev12_t12,20367,558318,0.0,0.9823243482103402,0.0,0.9675507506474804,0.17119008347078524,0.1646886992064065
