lag,bucket_type,bucket,label,cell,rows,row_share,pool_share_of_all,events,rate,base,coverage,lift,ci_low,ci_high,sufficient,window,members,unconfirmed
3,mst,13-24,win_100,deciles 8-10,1406,0.3001707941929974,0.04144191941521502,6,0.004267425320056899,0.003842869342442357,0.13806113125239486,1.1104788999525843,0.5093127862631227,2.41463274489173,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,13-24,launch_300,decile 10,470,0.10034158838599487,0.013853273204232618,0,0.0,0.0,0.13806113125239486,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,13-24,launch_300,deciles 8-10,1406,0.3001707941929974,0.04144191941521502,0,0.0,0.0,0.13806113125239486,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,>24,win_50,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,>24,win_50,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,>24,win_100,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,>24,win_100,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,>24,launch_300,decile 10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
3,mst,>24,launch_300,deciles 8-10,0,,0.0,0,,,0.0,,,,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
6,all,ALL,win_50,decile 10,10407,0.1003181029496819,0.02645204090191623,951,0.09138080138368405,0.0767977636398689,0.26368162997643796,1.1898888333806181,1.1197519660125281,1.2639522454489958,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
6,all,ALL,win_50,deciles 8-10,31138,0.3001542317331791,0.07914515706773013,2608,0.08375618215685016,0.0767977636398689,0.26368162997643796,1.0906070461844655,1.0512072405198436,1.131344004895006,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
6,all,ALL,win_100,decile 10,10407,0.1003181029496819,0.02645204090191623,180,0.017296050735082155,0.010246770773086562,0.26368162997643796,1.6879513671283375,1.4603151983256422,1.9503518914684919,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
6,all,ALL,win_100,deciles 8-10,31138,0.3001542317331791,0.07914515706773013,406,0.01303873081122744,0.010246770773086562,0.26368162997643796,1.2724721866008792,1.1552367459014257,1.4014319913453692,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
6,all,ALL,launch_300,decile 10,10407,0.1003181029496819,0.02645204090191623,56,0.0053809935620255595,0.0025448235974551764,0.26368162997643796,2.1144858792595893,1.629351926155101,2.74305428128536,False,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
6,all,ALL,launch_300,deciles 8-10,31138,0.3001542317331791,0.07914515706773013,126,0.004046502665553343,0.0025448235974551764,0.26368162997643796,1.5900916156231204,1.3360281857043539,1.892235124153846,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
6,drawdown,0-10,win_50,decile 10,10253,0.1003189699033306,0.03371355480220044,920,0.08972983517019409,0.07529059528002818,0.33606360626198123,1.1917801265411976,1.1203320934929015,1.2673098658441064,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
6,drawdown,0-10,win_50,deciles 8-10,30677,0.3001545927752338,0.10087103488414151,2525,0.08230922189262314,0.07529059528002818,0.33606360626198123,1.0932204956872846,1.0530635201975695,1.1347666977251363,True,build,ret_12m_skip1|pe_vs_5y_median|inst_pct_delta_qoq,True
