label,measure,k,winner_median,winner_mean,winner_n,winners,population_median,population_mean,population_months,winner_coverage
win_100,price_return,15,1.4303797468354427,1.752044480730889,18997,20367,0.21024834251039448,0.29699913675698775,20367,0.9327343251337948
win_100,price_return,18,1.4259738283627512,1.786051353845117,17881,20367,0.2521593650299587,0.3272697246100868,19512,0.8779398045858496
win_100,price_return,21,1.426935063799489,1.8357073282925869,17194,20367,0.24590500560741746,0.33525288249969976,19008,0.844208769087249
win_100,price_return,24,1.3880239520958084,1.8305498819028037,16715,20367,0.24464216407249506,0.34924077914805873,18683,0.8206903324004517
win_100,rev_growth_yoy,-24,0.1235518856297757,1.040910531959316,16085,20367,0.0991668587918978,0.5283651894549591,20367,0.7897579417685472
win_100,rev_growth_yoy,-21,0.11830250635501127,1.962021450486371,16408,20367,0.09964969859114448,0.524038692479768,20367,0.8056169293464919
win_100,rev_growth_yoy,-18,0.10909881766776075,1.6632470459990532,16707,20367,0.09233812181374135,0.48818056942733684,20367,0.8202975401384592
win_100,rev_growth_yoy,-15,0.09991191679814726,1.1735086097400866,17064,20367,0.08599547287695075,0.38729487921914535,20367,0.8378258948298718
win_100,rev_growth_yoy,-12,0.09241099151435272,0.943674322522612,17454,20367,0.06993098299741218,0.38027983463192594,20367,0.8569745176020033
win_100,rev_growth_yoy,-9,0.0831224340588268,29.55299863498426,17873,20367,0.052458445403355425,0.4072179430909859,20367,0.8775470123238572
win_100,rev_growth_yoy,-6,0.07983738430931586,1.2921368044625763,18247,20367,0.04970860806646504,0.3799487539525577,20367,0.8959100505720037
win_100,rev_growth_yoy,-3,0.07614614438784462,1.3107192824532987,18567,20367,0.050013043170019866,0.39815884518391936,20367,0.9116217410517012
win_100,rev_growth_yoy,0,0.06681996483159747,2.4324475340003286,18887,20367,0.048587586585373876,0.5591390328952146,20367,0.9273334315313988
win_100,rev_growth_yoy,3,0.07410803062976967,5.636920673794244,19213,20367,0.044604478760766675,0.5672649897492515,20367,0.9433397162075907
win_100,rev_growth_yoy,6,0.10138329832548099,3.957392250688028,19222,20367,0.04701195219123511,0.48084111496792853,20367,0.9437816075023322
win_100,rev_growth_yoy,9,0.15042556444625665,-0.45623302762984125,19227,20367,0.051833074564892945,0.5431371111816677,20367,0.9440271026660775
win_100,rev_growth_yoy,12,0.20241969203919497,2.1064855556266577,19252,20367,0.06333793334169702,0.5839579461324117,20367,0.9452545784848039
win_100,rev_growth_yoy,15,0.24222482990326477,5.117238361522083,19296,20367,0.07760849659097047,0.611923775007281,20367,0.9474149359257623
win_100,rev_growth_yoy,18,0.24086368091580035,7.230570054297787,19284,20367,0.08720576771734301,0.7644737535510747,20367,0.9468257475327736
win_100,rev_growth_yoy,21,0.20784373817418145,5.122220845811862,19142,20367,0.08816568047337281,0.7551859033995961,20367,0.9398536848824078
win_100,rev_growth_yoy,24,0.18134433253967575,5.805206110594,18882,20367,0.08827761973717507,0.5684903143002633,20367,0.9270879363676535
win_100,shares_change,-24,-0.026191668114354638,-0.0763166875881484,18738,20367,-0.00715692730250439,-0.039912912364964165,20367,0.9200176756517897
win_100,shares_change,-21,-0.022220612574168574,-0.06787305045385454,19142,20367,-0.006078787372363781,-0.037104820860913566,20367,0.9398536848824078
win_100,shares_change,-18,-0.018237666675616826,-0.05910898444642092,19524,20367,-0.004867848926649709,-0.031956226873481146,20367,0.9586095153925468
win_100,shares_change,-15,-0.014750701804742361,-0.05036604299133455,19866,20367,-0.00414123816460199,-0.02743727998689831,20367,0.9754013845927235
win_100,shares_change,-12,-0.011310834814848125,-0.04205701358353741,20170,20367,-0.00342480646951826,-0.022452469994146462,20367,0.9903274905484362
win_100,shares_change,-9,-0.007810673450660166,-0.03279299181690568,20342,20367,-0.002635688689786142,-0.01801221837010646,20367,0.9987725241812736
win_100,shares_change,-6,-0.0046487527947559615,-0.02367598186069428,20367,20367,-0.001831626697893718,-0.013587412852164586,20367,1.0
win_100,shares_change,-3,-0.0015772550603959656,-0.012462739512416365,20367,20367,-0.0006836395336133338,-0.006426207405437565,20367,1.0
win_100,shares_change,0,0.0,0.0,20367,20367,0.0,0.0,20367,1.0
win_100,shares_change,3,0.0015766699527166583,0.029830424780814442,20367,20367,0.0006615559318046138,0.014522860972326721,20367,1.0
win_100,shares_change,6,0.005414475414127207,0.055305377897384995,20367,20367,0.0019515956381022104,0.0269783527159795,20367,1.0
win_100,shares_change,9,0.010714132222467754,0.08224483462960365,20367,20367,0.003114880394075148,0.03892882364258741,20367,1.0
win_100,shares_change,12,0.018108121533037647,0.10874489228093297,20367,20367,0.0045035993311295375,0.05165018879405729,20367,1.0
win_100,shares_change,15,0.025793229944742535,0.135654279896222,20362,20367,0.005848226303833526,0.0654050527212204,20367,0.9997545048362547
win_100,shares_change,18,0.03173308288636334,0.15265096542762974,20289,20367,0.007036717500368939,0.08829762440331029,20367,0.9961702754455737
win_100,shares_change,21,0.037278098981320396,0.16511113653997386,20094,20367,0.007597478486410791,0.10741217474981175,20367,0.986595964059508
win_100,shares_change,24,0.042689534454564804,0.17559341999649059,19745,20367,0.008416107109988413,0.12768378076171918,20367,0.9694604016300878
