lag,size,combo,n_nn,n_true,events,base,rate,lift,ci_low,ci_high,catch,nn_share,rate_200,rate_500,events_500,sufficient,qualifying_flags_at_lag
3,3,h9_rs6_top_decile AND h9_rs12_top_decile AND h11_insider_cluster,295394,406,4,0.00705836949971902,0.009852216748768473,1.3958204864679684,0.5437257763681258,3.5496812706926693,0.001536688436419516,0.7508190804439937,0.05665024630541872,0.007389162561576354,3,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,2,h9_rs6_top_decile AND ctl_pe_lt_15,295546,4212,21,0.003691472731825164,0.004985754985754986,1.3506140632630093,0.8840317944105097,2.0615731166923377,0.008067614291202459,0.7512054271545819,0.023979107312440646,0.0007122507122507123,3,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,2,h9_rs12_top_decile AND h11_insider_cluster,295394,765,7,0.00705836949971902,0.009150326797385621,1.29637968056927,0.6289484052945484,2.658728869418635,0.002689204763734153,0.7508190804439937,0.036601307189542485,0.006535947712418301,5,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
0,2,h5_peg_lt_05 AND h10_sponsorship,72069,1140,3,0.002150716674298242,0.002631578947368421,1.2235823429541597,0.4163119806885637,3.584152755551497,0.001152516327314637,0.18318171766697422,0.010526315789473684,0.0017543859649122807,2,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
3,2,h5_peg_lt_05 AND h10_sponsorship,69159,1098,3,0.0022990500151824056,0.00273224043715847,1.1884214867512115,0.40435566825821284,3.4806526539945124,0.001152516327314637,0.17578521156295038,0.012750455373406194,0.0009107468123861566,1,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,2,h10_sponsorship AND ctl_pe_lt_15,125716,1508,4,0.0030465493652359287,0.002652519893899204,0.8706636840246275,0.3387379280268388,2.2321949656143287,0.001536688436419516,0.3195392307125301,0.010610079575596816,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
6,2,h5_peg_lt_05 AND h10_sponsorship,65742,996,2,0.002403334245991908,0.002008032128514056,0.8355192923593106,0.22920143703023452,3.034057631144457,0.000768344218209758,0.16710003583874092,0.010040160642570281,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship"
3,3,h5_peg_lt_05 AND h10_sponsorship AND ctl_pe_lt_15,69159,560,1,0.0022990500151824056,0.0017857142857142857,0.7767183288409704,0.13714012006539675,4.3691162768911385,0.000384172109104879,0.17578521156295038,0.0125,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
0,3,h5_peg_lt_05 AND h9_rs12_top_decile AND h10_sponsorship,72053,269,0,0.0021511942597809944,0.0,0.0,0.0,6.544947926167131,0.0,0.18314104959217548,0.01486988847583643,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
0,3,h9_rs12_top_decile AND h10_sponsorship AND h11_insider_cluster,168304,108,0,0.006743749405837057,0.0,0.0,0.0,5.093214205152928,0.0,0.4277874788081204,0.06481481481481481,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster"
3,3,h5_peg_lt_05 AND h9_rs12_top_decile AND h10_sponsorship,67668,215,0,0.0022462611574156173,0.0,0.0,7.722715011342013e-16,7.814592573460624,0.0,0.17199545534264124,0.046511627906976744,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,3,h9_rs12_top_decile AND h10_sponsorship AND h11_insider_cluster,153131,89,0,0.006327915314338703,0.0,0.0,0.0,6.5387325535525145,0.0,0.38922143512552454,0.0449438202247191,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
3,3,h9_rs12_top_decile AND h10_sponsorship AND ctl_pe_lt_15,120972,156,0,0.0028932314915848297,0.0,0.0,0.0,8.306605218884853,0.0,0.30748114653469877,0.04487179487179487,0.0,0,False,"h5_peg_lt_05, h9_rs6_top_decile, h9_rs12_top_decile, h10_sponsorship, h11_insider_cluster, ctl_pe_lt_15"
