feature,direction,lag,bucket_type,bucket,label,decile,rows,row_share,events,rate,base,coverage,lift,ci_low,ci_high,sufficient
fcf_ps_slope,HIGH,12,drawdown,10-20,launch_300,5,3691,0.099821505841627,31,0.008398807911135195,0.0040025962786672436,0.9504421139214476,2.098340008933344,1.4798602610237148,2.9722083622325712,False
fcf_ps_slope,HIGH,12,drawdown,10-20,launch_300,6,3700,0.10006490696668109,33,0.00891891891891892,0.0040025962786672436,0.9504421139214476,2.2282834185536893,1.5884362746572716,3.1226290536123513,False
fcf_ps_slope,HIGH,12,drawdown,10-20,launch_300,7,3697,0.09998377325832973,17,0.004598322964565864,0.0040025962786672436,0.9504421139214476,1.148835067147212,0.7177871502515213,1.8368287047033398,False
fcf_ps_slope,HIGH,12,drawdown,10-20,launch_300,8,3694,0.09990263954997837,7,0.0018949648077964266,0.0040025962786672436,0.9504421139214476,0.4734339103586532,0.22940887664165205,0.9760163857286269,False
fcf_ps_slope,HIGH,12,drawdown,10-20,launch_300,9,3697,0.09998377325832973,11,0.0029753854476602653,0.0040025962786672436,0.9504421139214476,0.7433638669776079,0.41529253337872324,1.3292226762595682,False
fcf_ps_slope,HIGH,12,drawdown,10-20,launch_300,10,3705,0.10020012981393336,8,0.0021592442645074223,0.0040025962786672436,0.9504421139214476,0.5394609184082868,0.2734562674903071,1.063119383264684,False
fcf_ps_slope,HIGH,12,drawdown,20-30,win_50,1,2747,0.1001933107196265,504,0.18347287950491445,0.18638071269650217,0.9644703978611883,0.984398422189088,0.9091295226158582,1.0644105124235437,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_50,2,2739,0.09990152095415253,450,0.16429353778751368,0.18638071269650217,0.9644703978611883,0.8814943102779379,0.8095723133460009,0.9584615748839208,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_50,3,2742,0.10001094211620527,459,0.1673960612691466,0.18638071269650217,0.9644703978611883,0.8981404719796855,0.8256748762190886,0.9755992468663977,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_50,4,2738,0.09986504723346828,533,0.19466764061358657,0.18638071269650217,0.9644703978611883,1.0444623684349712,0.9672073990022148,1.1263077926214142,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_50,5,2740,0.09993799467483679,543,0.19817518248175184,0.18638071269650217,0.9644703978611883,1.0632816004113876,0.9854905338220935,1.1456070807901062,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_50,6,2743,0.10004741583688952,568,0.20707254830477578,0.18638071269650217,0.9644703978611883,1.1110191892117491,1.0318841266537537,1.1945501911637586,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_50,7,2739,0.09990152095415253,553,0.20189850310332239,0.18638071269650217,0.9644703978611883,1.0832585635193326,1.0048661339383846,1.166131103003335,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_50,8,2741,0.09997446839552103,548,0.19992703392922292,0.18638071269650217,0.9644703978611883,1.0726809176590029,0.9946259127911804,1.1552423752859402,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_50,9,2741,0.09997446839552103,491,0.17913170375775264,0.18638071269650217,0.9644703978611883,0.9611064426470263,0.8865098942618871,1.0405217450767144,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_50,10,2747,0.1001933107196265,461,0.16781943938842372,0.18638071269650217,0.9644703978611883,0.9004120488673999,0.8279315823094718,0.9778702744573794,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_100,1,2747,0.1001933107196265,95,0.03458318165271205,0.03942809205967101,0.9644703978611883,0.8771203435452416,0.719641070457712,1.0675679455558762,False
fcf_ps_slope,HIGH,12,drawdown,20-30,win_100,2,2739,0.09990152095415253,92,0.033588901058780575,0.03942809205967101,0.9644703978611883,0.8519027755121064,0.6966599380216298,1.0402807365215896,False
fcf_ps_slope,HIGH,12,drawdown,20-30,win_100,3,2742,0.10001094211620527,85,0.03099927060539752,0.03942809205967101,0.9644703978611883,0.7862229437448508,0.6376088957213412,0.9681196865807722,False
fcf_ps_slope,HIGH,12,drawdown,20-30,win_100,4,2738,0.09986504723346828,102,0.03725346968590212,0.03942809205967101,0.9644703978611883,0.9448458634397578,0.7807509403779243,1.141827559053614,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_100,5,2740,0.09993799467483679,138,0.050364963503649635,0.03942809205967101,0.9644703978611883,1.27738779313558,1.0851986796891078,1.5015085708004328,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_100,6,2743,0.10004741583688952,149,0.05432008749544295,0.03942809205967101,0.9644703978611883,1.3777001284575017,1.1779577889386412,1.6090586839140615,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_100,7,2739,0.09990152095415253,126,0.04600219058050383,0.03942809205967101,0.9644703978611883,1.1667364099404935,0.9833696092852244,1.3823564599858875,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_100,8,2741,0.09997446839552103,104,0.0379423568040861,0.03942809205967101,0.9644703978611883,0.9623178505991014,0.7966998539676808,1.1607377711085358,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_100,9,2741,0.09997446839552103,106,0.03867201751185698,0.03942809205967101,0.9644703978611883,0.9808239631106225,0.813523743481152,1.1808743072910197,True
fcf_ps_slope,HIGH,12,drawdown,20-30,win_100,10,2747,0.1001933107196265,84,0.030578813250819074,0.03942809205967101,0.9644703978611883,0.7755590406084242,0.628156793814434,0.9562132703092145,False
fcf_ps_slope,HIGH,12,drawdown,20-30,launch_300,1,2747,0.1001933107196265,5,0.0018201674554058974,0.004887478571689098,0.9644703978611883,0.3724144113795783,0.1591228531505704,0.8703892092953835,False
fcf_ps_slope,HIGH,12,drawdown,20-30,launch_300,2,2739,0.09990152095415253,12,0.004381161007667032,0.004887478571689098,0.9644703978611883,0.8964051593075151,0.5131509577920063,1.563705191482211,False
fcf_ps_slope,HIGH,12,drawdown,20-30,launch_300,3,2742,0.10001094211620527,10,0.0036469730123997084,0.004887478571689098,0.9644703978611883,0.7461870080668866,0.40556576759107144,1.370964055038067,False
fcf_ps_slope,HIGH,12,drawdown,20-30,launch_300,4,2738,0.09986504723346828,11,0.004017531044558071,0.004887478571689098,0.9644703978611883,0.822004840661557,0.4593025126179746,1.4690650733383903,False
fcf_ps_slope,HIGH,12,drawdown,20-30,launch_300,5,2740,0.09993799467483679,19,0.006934306569343066,0.004887478571689098,0.9644703978611883,1.418790173221484,0.9092257220358518,2.2108342250208097,False
fcf_ps_slope,HIGH,12,drawdown,20-30,launch_300,6,2743,0.10004741583688952,19,0.006926722566532993,0.004887478571689098,0.9644703978611883,1.4172384522883215,0.9082303367476234,2.208421994696238,False
fcf_ps_slope,HIGH,12,drawdown,20-30,launch_300,7,2739,0.09990152095415253,24,0.008762322015334063,0.004887478571689098,0.9644703978611883,1.7928103186150302,1.2062155792273384,2.6609399862914414,False
fcf_ps_slope,HIGH,12,drawdown,20-30,launch_300,8,2741,0.09997446839552103,9,0.003283473184968989,0.004887478571689098,0.9644703978611883,0.6718133157633939,0.3536438237496531,1.2744503127006166,False
fcf_ps_slope,HIGH,12,drawdown,20-30,launch_300,9,2741,0.09997446839552103,11,0.004013133892739876,0.004887478571689098,0.9644703978611883,0.8211051637108149,0.4587994901099566,1.4674604685591752,False
fcf_ps_slope,HIGH,12,drawdown,20-30,launch_300,10,2747,0.1001933107196265,14,0.005096468875136513,0.004887478571689098,0.9644703978611883,1.0427603518628192,0.6216553495024142,1.7466763621546824,False
fcf_ps_slope,HIGH,12,drawdown,>30,win_50,1,2080,0.10013479684190256,647,0.3110576923076923,0.2919795879067976,0.9451699504026937,1.065340541568901,0.9984499583471718,1.1346169478645372,True
